ward,category,pct
1,Apartments & condos not allowed (RS),32.32798286923318
1,Apartments & condos allowed,59.513531792875874
1,Planned Developments,5.990845005419365
1,All other zones (no residential allowed),2.1676403324715827
2,Apartments & condos not allowed (RS),2.2735047721590393
2,Apartments & condos allowed,53.38505419169333
2,Planned Developments,36.17183113872902
2,All other zones (no residential allowed),8.169609897418622
3,Apartments & condos not allowed (RS),2.8583826394636276
3,Apartments & condos allowed,54.496691866198645
3,Planned Developments,29.760290996540313
3,All other zones (no residential allowed),12.884634497797412
4,Apartments & condos not allowed (RS),5.641737315115926
4,Apartments & condos allowed,36.2128040758273
4,Planned Developments,36.18447134382687
4,All other zones (no residential allowed),21.960987265229903
5,Apartments & condos not allowed (RS),11.357275023477651
5,Apartments & condos allowed,39.24760424103129
5,Planned Developments,19.11195949797913
5,All other zones (no residential allowed),30.283161237511933
6,Apartments & condos not allowed (RS),54.798718381873144
6,Apartments & condos allowed,30.77009566560376
6,Planned Developments,4.478124540948256
6,All other zones (no residential allowed),9.95306141157485
7,Apartments & condos not allowed (RS),42.06612222715402
7,Apartments & condos allowed,27.918580670454407
7,Planned Developments,7.294309526344921
7,All other zones (no residential allowed),22.720987576046646
8,Apartments & condos not allowed (RS),51.00849363887947
8,Apartments & condos allowed,20.095069002917366
8,Planned Developments,3.535095761778151
8,All other zones (no residential allowed),25.361341596425017
9,Apartments & condos not allowed (RS),51.32213316413235
9,Apartments & condos allowed,10.66576240283438
9,Planned Developments,7.190770654744191
9,All other zones (no residential allowed),30.821333778289073
10,Apartments & condos not allowed (RS),21.355491490438403
10,Apartments & condos allowed,3.886521623538366
10,Planned Developments,9.78674299333817
10,All other zones (no residential allowed),64.97124389268507
11,Apartments & condos not allowed (RS),27.044704585417623
11,Apartments & condos allowed,17.65453965181052
11,Planned Developments,8.846315897252657
11,All other zones (no residential allowed),46.45443986551919
12,Apartments & condos not allowed (RS),31.416287781058262
12,Apartments & condos allowed,10.656132839453159
12,Planned Developments,8.483686165360634
12,All other zones (no residential allowed),49.44389321412794
13,Apartments & condos not allowed (RS),59.655156406347864
13,Apartments & condos allowed,8.034574515094892
13,Planned Developments,23.925642055927266
13,All other zones (no residential allowed),8.38462702262998
14,Apartments & condos not allowed (RS),44.290252492154195
14,Apartments & condos allowed,8.879307327919603
14,Planned Developments,7.751793364946099
14,All other zones (no residential allowed),39.078646814980104
15,Apartments & condos not allowed (RS),62.58217038906063
15,Apartments & condos allowed,14.029749087094418
15,Planned Developments,3.9236525326808582
15,All other zones (no residential allowed),19.464427991164097
16,Apartments & condos not allowed (RS),63.485450436155745
